0,1,2,3,4
47066,20158,20158,21291,24663
12017,8107,8107,7720,8160
51218,39668,39668,36984,34933
49661,29721,29721,29520,25812
12830,10375,10375,8254,7261
47074,20396,20396,16342,19553
56524,41384,41384,40258,37970
41149,27649,27649,25700,26165
34136,19543,19543,17518,17645
60919,24819,24819,21441,29820
23491,12524,12524,11629,12328
13678,8839,8839,7773,7577
54192,30404,30404,28617,30571
27009,19780,19780,16846,16080
53554,34676,34676,30431,28783
13018,8233,8233,7367,6147
15188,10560,10560,9533,8938
39776,19521,19521,19977,17554
13468,6347,6347,6783,6820
65225,55752,55752,52066,51616
61234,41015,41015,38265,35218
18956,16591,16591,16131,14162
59041,24670,24670,21879,21433
26337,21917,21917,20178,19828
43638,38437,38437,34735,28889
50981,40339,40339,35504,35548
54970,40977,40977,40984,34889
79697,30200,30200,24160,25593
28333,26747,26747,26137,25023
44774,19623,19623,19813,19986
30545,17915,17915,16927,14263
18199,16075,16075,15756,16508
21141,7258,7258,6722,7996
43578,22240,22240,18337,23538
12156,8313,8313,8764,8059
46353,42531,42531,41653,34772
61274,57502,57502,51978,43094
23339,12880,12880,11407,12065
42820,28718,28718,23228,21714
41873,28473,28473,25217,18181
48150,30737,30737,27181,27271
49754,29490,29490,23996,22619
32225,26717,26717,27559,28374
108217,85320,85320,78003,78224
47210,15182,15182,11941,15415
19064,9456,9456,5840,4552
47953,22914,22914,20152,23706
25139,14288,14288,11987,12787
28261,19565,19565,18817,16620
29038,18031,18031,15633,14416
61864,38280,38280,38847,40593
16460,8422,8422,7717,7908
54991,44100,44100,38680,39757
47310,21568,21568,19041,23561
21235,15826,15826,13915,13958
37287,19523,19523,16179,13641
27321,12842,12842,11685,12242
50169,30688,30688,28746,30537
27104,25298,25298,21990,20645
19801,13858,13858,9233,7890
27199,22458,22458,16475,16227
61571,43685,43685,45304,40634
56537,50157,50157,49216,45351
55046,35171,35171,36013,33183
63438,45878,45878,48165,48700
63819,45312,45312,48189,46985
34618,17259,17259,16941,19145
31811,13686,13686,14497,13770
55113,44265,44265,46189,46466
78867,37403,37403,31828,42470
32466,18470,18470,16780,18774
55154,34395,34395,32479,32302
50298,45106,45106,35853,36356
50298,45106,45106,35853,36356
19884,8397,8397,8034,9197
22971,10000,10000,9391,9269
65859,46692,46692,41655,41666
19442,12439,12439,12176,11959
35993,29234,29234,25065,21464
50910,34293,34293,32119,33026
40994,29024,29024,25653,24367
35578,19719,19719,20112,19758
30876,24364,24364,23431,17612
50327,27906,27906,26502,26014
41371,30276,30276,28976,26732
32648,31696,31696,30791,30956
40069,26985,26985,22210,23791
33689,26489,26489,24286,23105
18565,15625,15625,10540,9746
36974,16632,16632,15938,18725
37815,23870,23870,22150,21653
23572,13228,13228,12277,12319
32476,10023,10023,8714,7656
36781,18094,18094,16273,18325
30676,19759,19759,17632,19025
40984,21071,21071,20928,17743
39856,18451,18451,18195,18632
16192,14855,14855,12565,12743
58204,41540,41540,35720,27899
31690,24007,24007,25292,22333
27065,21820,21820,21255,19794
33036,22011,22011,21943,21935
31700,31266,31266,27927,22248
20404,14840,14840,14453,13355
34055,21377,21377,20121,19246
26964,7563,7563,6947,9792
53958,42519,42519,41486,36564
55272,34568,34568,34390,32189
57854,44869,44869,42824,41652
38550,24845,24845,21784,18291
40238,32339,32339,32288,32297
41836,23214,23214,18918,18080
41516,23798,23798,23288,26235
10321,6049,6049,6022,5850
44776,23737,23737,22190,25268
68856,46899,46899,47755,49737
25288,13438,13438,11450,11583
29370,27405,27405,24958,21031
40806,29634,29634,27068,23777
